program_title,popular_name,federal_agency,objectives
"Puget Sound Action Agenda Outreach, Education and Stewardship Support Program ",,"ENVIRONMENTAL PROTECTION AGENCY, ENVIRONMENTAL PROTECTION AGENCY","Puget Sound has been designated as one of 28 estuaries of National Significance under section 320 of the Clean Water Act. The goal of the National Estuary Program is to attain and maintain water quality in designated estuaries that will assure protection of public water supplies and the protection and propagation of a balanced, indigenous population of shellfish, fish and wildlife and allows recreational activities in and on the water. The Puget Sound National Estuary Program's approved Comprehensive Conservation and Management Plan (CCMP), the Action Agenda, has a goal to restore and maintain the Puget Sound Estuary's environment by meeting 2020 ecosystem targets. 

The EPA is committed to protecting and improving water quality and minimizing the adverse impacts of rapid development in the Puget Sound Basin. These commitments include protecting the watersheds and waters of Puget Sound by protecting the fundamental watershed processes that provide and create aquatic habitats and by reducing the generation and release of toxic, nutrient and pathogen pollution.

An essential element of a successful estuary conservation and management program is a well-informed citizenry that is willing and able to take individual and community action to protect and enhance the estuary. This program is aimed at building and sustaining coordinated efforts for outreach and education to increase public awareness and encourage individual stewardship to protect both local and basin-wide ecosystems. 

No funding will be added to the agreement in FY14. This grant has been fully funded - $6M





"
Puget Sound Action Agenda: Technical Investigations and Implementation Assistance Program ,,"ENVIRONMENTAL PROTECTION AGENCY, ENVIRONMENTAL PROTECTION AGENCY","Puget Sound has been designated as one of 28 estuaries of National Significance under section 320 of the Clean Water Act. The goal of the National Estuary Program is to attain and maintain water quality in designated estuaries that will assure protection of public water supplies and the protection and propagation of a balanced, indigenous population of shellfish, fish and wildlife and allows recreational activities in and on the water. The Puget Sound National Estuary Program's approved Comprehensive Conservation and Management Plan (CCMP), the Action Agenda, has a goal to restore and maintain the Puget Sound Estuary's environment by meeting 2020 ecosystem targets. The EPA is committed to protecting and improving water quality and minimizing the adverse impacts of rapid development in the Puget Sound Basin. These commitments include protecting the watersheds and waters of Puget Sound by protecting the fundamental watershed processes that provide and create aquatic habitats and by reducing the generation and release of toxic, nutrient and pathogen pollution. This program has the following main objectives: First, implementing the approved CCMP, the Action Agenda for Puget Sound, is the primary objective of this program. Funds are directed to the highest priority work as articulated in biennial updates to the Action Agenda work plan. The updated biennial work plan identifies specific near term actions to achieve reductions in the harmful impacts on Puget Sound and restore previously damaged aquatic ecosystem functions. A central component of the approved CCMP for Puget Sound is its Biennial Science Work plan which identifies some of the core scientific work that must be completed in order for Action Agenda implementation efforts to succeed. This program is to support implementation of priority near term actions and to support the technical studies and investigations that are needed to help direct implementation priorities. Second, the Scientific Studies and Technical Investigations awards through this program will help support the tracking systems and evaluation approaches for implementation activities. Together with projects aimed at achievement of specific environmental outcomes, the science studies and technical investigations inform adaptive management of the program significantly contributing to the restoration and protection of Puget Sound by 2020.  

Funding Priorities - Fiscal Year 2019: Continuing from  FY 2017 and FY2018, a greater emphasis on direct implementation of near term actions, including Tribal and local priorities, will be the focus of the updated Action Agenda and the Puget Sound Program. Priority will be given to actions that fall in the three strategic initiatives of the Action Agenda and have been scientifically and technically reviewed for the likelihood of positive results to achieve targeted environmental outcomes. The three strategic initiative areas in the Action Agenda are: habitat protection and restoration for salmon and other Puget Sound aquatic species; water quality improvements to protect and improve shellfish growing areas; and control and prevention of pollution from stormwater. Funding will be continued for these three strategic initiative leads. As the core support for leadership and stewardship of Puget Sound science, the Puget Sound Action Agenda—Implementation Strategies grant, new this year, will support three concurrent tasks: Task 1: Science support for partially completed and anticipated Implementation Strategies (ISs). Task 2: Science support for balanced and comprehensive ecosystem approaches. Task 3: Open, transparent and productive evaluation, integration, and communication of science, including rigorous science review, questioning and evaluating."
Lake Pontchartrain Basin Restoration Program (PRP) ,Lake Pontchartrain Restoration Program ,"ENVIRONMENTAL PROTECTION AGENCY, ENVIRONMENTAL PROTECTION AGENCY","The purpose of the program is to restore the ecological health of the Lake Pontchartrain Basin by developing and funding restoration projects and related scientific and public education projects.

Funding Priorities - Fiscal Year 2019:  EPA will continue to work to restore the ecological health of the Lake Pontchartrain Basin.  EPA will invest funds for the Lake Pontchartrain Basin Program for the following type of activities: Completing plans and studies as identified in the Lake Pontchartrain Basin Program Comprehensive Management Plan (LPBCMP) which supports the following goals: Planning and design of consolidated wastewater treatment systems, which supports sustainable infrastructure goals; Repair and replacement studies to improve existing wastewater systems; and Investigation and design of storm water management systems. Conducting outreach and public education projects that address the goals of the LPBCMP, such as: Improving the management of animal waste lagoons by educating and assisting the agricultural community on lagoon maintenance techniques; Protecting and restoring critical habitats and encouraging sustainable growth by providing information and guidance on habitat protection and green development techniques; and reducing pollution at its source"
The San Francisco Bay Water Quality Improvement Fund,SF Bay Grant Program,"ENVIRONMENTAL PROTECTION AGENCY, ENVIRONMENTAL PROTECTION AGENCY","The goals of the SF Bay grant program are to improve water quality and restore aquatic habitat (i.e. wetlands) in the San Francisco Bay and its watersheds. Funded projects will reduce polluted run-off, restore impaired waters and enhance aquatic habitat. Achieving significant environmental results related to wetlands restoration and water quality improvements is an overall program priority.

Funding Priorities for FY19 are expected to be the same as FY18, FY17, FY16, FY15, FY14 & FY13: to protect and restore the water quality of the San Francisco Bay and its watersheds. In addition, in FY17, a new evaluation criterion was added to solicit projects that ""...benefit disadvantaged communities.."" through reducing cumulative and legacy contamination or increasing access to natural habitat and “greener” infrastructure."
Southeastern Multi-Media and Geographic Priority Projects,,"ENVIRONMENTAL PROTECTION AGENCY, ENVIRONMENTAL PROTECTION AGENCY","To fund projects, including surveys, studies, investigations, demonstrations, training, outreach, human health and the environment to (1) prevent, reduce and eliminate pollution through the promotion of environmental sustainability; (2) build capacity on environmental sustainability and public health issues; (3) support the development and implementation of sustainability strategies and enhance environmental literacy; (4) promote coordination and collaboration between and among federal, state, and local governmental and non-governmental organizations as well as build environmental education capacity at institutions of higher education. 

Funding Priority 2015:There were no projects funded in FY15. 

Funding Priority - Fiscal Year 2016: There were no projects funded in FY16.

Funding Priority - Fiscal Year 2017: The projects should be centered around providing a forum for academic advisors and sustainability coordinators to collaborate with industry, college and graduate level students to establish and broaden environmental learning opportunities that promote capacity building on environmental sustainability and public health issues, including the creation of hands-on instructional learning of sustainable practices including pollution prevention, water and energy conservation, watershed protection, and environmental stewardship. The project should also serve to foster an environmental literacy plan to ensure that students have an understanding of environmental sustainability and how it interconnects with the green economy."
Southeast New England Coastal Watershed Restoration,SNEP,"ENVIRONMENTAL PROTECTION AGENCY, ENVIRONMENTAL PROTECTION AGENCY","To develop and support the Southeast New England Program (SNEP) for coastal watershed restoration. SNEP is a geographically-based program intended to serve as a collaborative framework for advancing ecosystem resiliency, protecting and restoring water quality, habitat, and ecosystem function, and developing and applying innovative policy, science, and technology to environmental management in southeast coastal New England (eligibility map is available at www.epa.gov/region1/snecwrp and will be included in competitive funding announcements). A critical aspect of this framework is the integration of physical processes, water quality, and critical habitat at a regional, watershed, and/or landscape scale. Additional background information on SNEP can be found at the following website: www.epa.gov/region1/snecwrp. 
 
 EPA intends to fund projects, either directly or via a pass-through organization, that address SNEP priorities through projects, networks, and/or partnerships among governmental and community resource managers, technology, scientific, and policy organizations, nongovernmental organizations (NGOs), tribes, and other groups. A major focus is to build program capacity for environmental management, including developing and establishing robust institutional, monitoring, information, and technology frameworks that can offer more effective, transferable, and sustainable paths to restoring and protecting the southeast New England coastal watersheds. Through competitive funding announcements, EPA will outline specific program priorities and eligible activities in areas such as environmental, ecological, and/or habitat restoration planning and construction; ordinance adoption and implementation; technology and policy development, testing, and adoption; financing; monitoring, including methods, equipment, data analysis and interpretation; public understanding and engagement; technical training in new approaches; information sharing; and targeted/applied research. EPA may seek to fund this work directly or through an eligible pass-through organization and will provide project examples and expectations in specific Request for Applications (RFAs).

Funding Priority - Fiscal Year 2019 - This program seeks to build capacity of local communities, tribes and organizations to address environmental issues and promote and increased understanding and use of available financial and technical resources, best practices, and innovative approaches, particularly in the areas of stormwater management and financing for coastal watershed restoration efforts. Other priorities include: advancing ecosystem resiliency; protecting and restoring water quality, habitat and ecosystem function; and, developing and applying innovative policy, science and technology to environmental management."
Gulf Coast Ecosystem Restoration Council Comprehensive Plan Component ,"EPA's RESTORE Council Component 



","ENVIRONMENTAL PROTECTION AGENCY, ENVIRONMENTAL PROTECTION AGENCY","The primary objective of this program is to disburse funds to eligible entities according to the funded priorities list approved by the Gulf Coast Ecosystem Restoration Council. The Council enters into Interagency Agreements with EPA to expend funds to carry out those Comprehensive Plan projects and programs that have been assigned to EPA. Projects funded through this component achieve one or more of the seven objectives listed in the Gulf Coast Ecosystem Restoration Council Initial Comprehensive Plan: (1) Restore, Enhance and Protect Habitats, (2) Restore, Improve, and Protect Water Resources, (3) Protect and Restore Living Coastal and Marine Resources, (4) Restore and Enhance Natural Processes and Shorelines, (5) Promote Community Resilience, (6) Promote Natural Resource Stewardship and Environmental Education, and (7) Improve Science-Based Decision-Making Processes. Projects funded through this component also achieve one or more of the four EPA Gulf of Mexico Program priorities: 1) Restore, protect and enhance habitat, 2) Improve water quality, 3) Enhance community resilience, and 4) Further environmental education.   For further information, please see:
https://restorethegulf.gov.    Funding priority will be projects on the RESTORE funded priorities list where EPA is listed as the Responsible Council Member. Please visit https://restorethegulf.gov."
Congressionally Mandated Projects,CONGRESSIONAL EARMARKS,"ENVIRONMENTAL PROTECTION AGENCY, ENVIRONMENTAL PROTECTION AGENCY","To implement special Congressionally directed projects or programs identified in EPA's annual appropriations act, committee reports incorporated by reference into the annual appropriation act, and other statutes mandating that EPA provide financial assistance agreements to designated recipients for projects or programs. These assistance agreements support special projects earmarked by Congress for specific recipients.  The projects may be associated with: (1) various environmental requirements (e.g., wastewater treatment, drinking water treatment); (2) identifying, developing, and/or demonstrating necessary pollution control technologies and techniques to prevent, reduce, and eliminate pollution; or (3) evaluating the economic and social consequences of alternative environmental pollution strategies, technologies, or mechanisms for use by those in economic, social, governmental, and environmental management positions. Funding priorities are to award these assistance agreements to the designated recipients as quickly as possible within statutory and regulatory requirements."
Environmental Finance Center Grants,EFC Grant Program,"ENVIRONMENTAL PROTECTION AGENCY, ENVIRONMENTAL PROTECTION AGENCY","The Environmental Finance Center Grant Program provides funding to support Environmental Finance Centers (EFCs) that provide multi-media environmental finance expertise and outreach to the regulated communities. The EFCs work with state and tribal governments, local governments, and the private sector to address the growing costs of environmental protection. The EFCs provide finance-related training, education, and analytical studies to help these regulated parties develop solutions to the difficult ""how-to-pay"" issues associated with meeting environmental standards.
 
 The EFCs educate state, tribal, and local governments and businesses on lowering environmental costs, increasing environmental investments, improving financial capacity, encouraging full cost pricing, and identifying and evaluating environmental financing options. A central goal of the EFCs is to create sustainable systems. Sustainable systems have the financial, technical, and institutional resources and capabilities to operate in compliance with environmental requirements and in conformance with accepted environmental practices over the long term. EFCs focus on helping smaller parties find ways to obtain financing for their environmental protection responsibilities.

Funding Priority - Fiscal Year 2019: Providing education, training, technical assistance, and analytic support and outreach to state, tribal and local governments and businesses (with a focus on smaller governments and businesses) on: (1) supporting resiliency efforts in coastal communities, enhancing stormwater resilience in the built environment, and using pollution reduction performance and costing data to make lesser-cost, effective best management practice (BMP) decisions; (2) providing on-going public financial management technical assistance and training to local stakeholders, and providing sustainable materials management (greener business through source reduction, pollution prevention, conservation, resource recovery, reuse, and recycling) community assistance support in Puerto Rico, the U.S. Virgin Islands New York and New Jersey; (3) building water quality financing knowledge in support of watershed and wetland programs, promoting environmentally sustainable development and smart growth, and green infrastructure approaches; (4) improving drinking water and wastewater infrastructure planning and funding, educating local officials and the public regarding water rates/pricing and customer affordability challenges, and providing future leaders with applied research opportunities in public and private sector environmental management and finance areas; (5) promoting and building asset management expertise in drinking water, wastewater and stormwater utilities; (6) developing online environmental finance and management resources tailored for use by different audiences (elected leaders, utility operators and managers and the public); (7) resources promoting innovative ways to finance and otherwise support interstate, state, regional, and local air pollution reduction efforts; (8) assisting the owners and operators of small, disadvantaged, and rural water systems in planning, obtaining financing, and developing new approaches such as regionalization to meeting infrastructure needs; (9) developing fiscal sustainability plans and certifications for utilities that include inventories and evaluations of planning needs, asset performance, energy conservation efforts, operations, maintenance and repair needs and activities; (10) reducing greenhouse gas emissions, and developing decision tools and financial strategies for adaptation to adverse weather events; (11) developing a web application to collect field data and send it to a GIS hub for use in improving environmental utility asset management decision-making and building a funding guide for use by communities in addressing water infrastructure challenges; (12) identifying, supporting and advancing environmental equity and justice concerns, where appropriate, in all training, outreach, projects, programs, and activities; and (13) encouraging the development and use of public-private partnerships, where appropriate in providing environmental services, infrastructure, projects, and activities.

Funding Priority - Fiscal Year 2020: Providing education, training, technical assistance, and analytic support and outreach to state, tribal and local governments and businesses (with a focus on smaller governments and businesses) on: (1) supporting resiliency efforts in coastal communities, enhancing stormwater resilience in the built environment, and using pollution reduction performance and costing data to make lesser-cost, effective best management practice (BMP) decisions; (2) providing on-going public financial management technical assistance and training to local stakeholders, and providing sustainable materials management (greener business through source reduction, pollution prevention, conservation, resource recovery, reuse, and recycling) community assistance support in Puerto Rico, the U.S. Virgin Islands New York and New Jersey; (3) building water quality financing knowledge in support of watershed and wetland programs, promoting environmentally sustainable development and smart growth, and green infrastructure approaches; (4) improving drinking water and wastewater infrastructure planning and funding, educating local officials and the public regarding water rates/pricing and customer affordability challenges, and providing future leaders with applied research opportunities in public and private sector environmental management and finance areas; (5) promoting and building asset management expertise in drinking water, wastewater and stormwater utilities; (6) developing online environmental finance and management resources tailored for use by different audiences (elected leaders, utility operators and managers and the public); (7) resources promoting innovative ways to finance and otherwise support interstate, state, regional, and local air pollution reduction efforts; (8) assisting the owners and operators of small, disadvantaged, and rural water systems in planning, obtaining financing, and developing new approaches such as regionalization to meeting infrastructure needs; (9) developing fiscal sustainability plans and certifications for utilities that include inventories and evaluations of planning needs, asset performance, energy conservation efforts, operations, maintenance and repair needs and activities; (10) reducing greenhouse gas emissions, and developing decision tools and financial strategies for adaptation to adverse weather events; (11) developing a web application to collect field data and send it to a GIS hub for use in improving environmental utility asset management decision-making and building a funding guide for use by communities in addressing water infrastructure challenges; (12) identifying, supporting and advancing environmental equity and justice concerns, where appropriate, in all training, outreach, projects, programs, and activities; and (13) encouraging the development and use of public-private partnerships, where appropriate in providing environmental services, infrastructure, projects, and activities."
"Surveys, Studies, Investigations, Training and Special Purpose Activities Relating to Environmental Justice","EJSS - Surveys, Studies, Investigations, Training, and Special Purpose Activities Relating to Environmental Justice; and State Environmental Justice Cooperative Agreement Program (SEJCA)","ENVIRONMENTAL PROTECTION AGENCY, ENVIRONMENTAL PROTECTION AGENCY","The program's objective is to provide funding in support of surveys, studies and investigations, and special purpose assistance programs as they relate to environmental and/or public health issues, with a particular emphasis on environmental justice."
Capacity Building Grants and Cooperative Agreements for Compliance Assurance and Enforcement Activities in Indian Country and Other Tribal Areas,,"ENVIRONMENTAL PROTECTION AGENCY, ENVIRONMENTAL PROTECTION AGENCY","If made available, the funds would provide financial resources to build and improve the compliance assurance and enforcement capacity of federally-recognized Indian tribes (tribes), inter-tribal consortia, or tribal organizations. Such capacity building efforts may include economic, social science, statistical research, development, studies, surveys, demonstrations, investigations, public education, training, and fellowships to the extent authorized under the federal environmental laws listed above. This Catalog of Federal Domestic Assistance (CFDA) number covers EPA's Environmental Programs and Management (EPM) resources targeted for compliance assurance and enforcement in Indian country and other tribal areas, including those in Alaska.

In fiscal year 2018, no funds were made available under this assistance listing.

In fiscal year 2019 if funds are made available, EPA's Office of Enforcement and Compliance Assurance anticipated  include, but are not limited to, compliance monitoring and enforcement activities under the Safe Drinking Water Act, the Clean Water Act, the Clean Air Act, and the Federal Insecticide, Rodenticide and Fungicide Act."
State Environmental Justice Cooperative Agreement Program,(SEJCA),"ENVIRONMENTAL PROTECTION AGENCY, ENVIRONMENTAL PROTECTION AGENCY","The  goals of the State Environmental Justice Cooperative Agreement (SEJCA) Program are to (1) achieve measurable and meaningful environmental and/or public health results in communities; (2) build broad and robust, results-oriented partnerships, particularly with community organizations within disproportionately impacted areas; (3) pilot activities in specific communities that create models, which can be expanded or replicated in other geographic areas; (4) reinforce connections to EPA Regional Environmental Justice (EJ) Action Plan and State’s participation in the design and implementation of EPA EJ Action Plan activities; and, (5) strengthen the development and implementation of specific approaches to achieve environmental justice. Projects should leverage: (1) state information; (2) state leadership; (3) state results; (4) relationships between delegated programs and state environmental justice policies, and (5) state targeting of disproportionately burdened areas."
International Compliance and Enforcement Projects,,"ENVIRONMENTAL PROTECTION AGENCY, ENVIRONMENTAL PROTECTION AGENCY","The primary purpose of the proposed capacity building projects is to protect human health and the environment while advancing U.S. national interests through international environmental collaboration on environmental compliance and enforcement. International capacity building plays a key role in protecting human health, communities and the environment by providing technical cooperation to help countries improve environmental compliance and enforcement. OECA will work to transfer appropriate compliance and enforcement tools and techniques to key countries and regions as we collaborate with partners to improve compliance with domestic environmental laws in those countries. In addition, we will continue efforts to strengthen domestic, regional, and global networks on criminal and civil/administrative enforcement, build capacity in developing countries to monitor and enforce compliance with environmental laws, and share information with countries on targeting and advanced monitoring tools. OECA plays a key role in ensuring trade-related activities support environmental protection, particularly related to effective enforcement of environmental laws. Initiatives relating to environmental trade and investment are carried out bilaterally, multilaterally or in connection with multilateral institutions such as the International Network for Environmental Compliance and Enforcement (INECE) and associated regional networks, INTERPOL's Environmental Crime Program, the World Trade Organization (WTO), World Bank, European Union (EU), and others. Also, OECA will support protection of human health and the ecosystem of North America through the United States participation in the Organization for Economic Cooperation and Development (OECD) and other international entities. OECA will provide targeted capacity building support under the environmental cooperation agreements developed parallel to U.S. free trade agreements.

Funding Priority Fiscal Year 2019: EPA expects to continue funding for ongoing activities that advance environmental compliance worldwide."
Construction Grants for Wastewater Treatment Works,,"ENVIRONMENTAL PROTECTION AGENCY, ENVIRONMENTAL PROTECTION AGENCY","To assist and serve as an incentive in construction of municipal wastewater treatment works which are required to meet State and/or Federal water quality standards and improve the water quality in the waters of the United States. From fiscal year (FY) 2004 onwards, American Samoa, Commonwealth of Northern Mariana Islands, Guam, Virgin Islands, and the District of Columbia may use up to four percent of the funds appropriated under Title VI for administration and closeout of their construction grant program.

Funding Priority - Fiscal Year 2019: Funds will be awarded to assist in construction of municipal wastewater treatment works which are required to meet local and/or federal water quality standards and improve the water quality in the waters of the United States. Annual funding priorities are determined by the municipal water pollution control agency in which the grantee is located. The project must be given priority by the municipal water pollution control agency through its project priority system and recommended for funding for approval by the EPA Regional Office.

Funding Priority - Fiscal Year 2020: Funds will be awarded to assist in construction of municipal wastewater treatment works which are required to meet local and/or federal water quality standards and improve the water quality in the waters of the United States. Annual funding priorities are determined by the municipal water pollution control agency in which the grantee is located. The project must be given priority by the municipal water pollution control agency through its project priority system and recommended for funding for approval by the EPA Regional Office."
"Water Pollution Control State, Interstate, and Tribal Program Support",Section 106 Grants,"ENVIRONMENTAL PROTECTION AGENCY, ENVIRONMENTAL PROTECTION AGENCY","To assist States (including territories, the District of Columbia, and Indian Tribes qualified under CWA Section 518(e)), and interstate agencies in establishing and maintaining adequate measures for prevention and control of surface and ground water pollution from both point and nonpoint sources.

Funding Priorities - Fiscal Year 2019: States and Tribes will continue to focus on fulfilling their basic responsibilities under the CWA Section 106 funded programs. State priority efforts will include: (1) implementing monitoring strategies and the statistically-valid surveys to determine water quality status and trends; (2) fostering a watershed approach, including total maximum daily loads (TMDLs) and watershed plans designed to meet water quality standards; and (3) implementing National Pollutant Discharge Elimination System (NPDES) permitting programs. States and Tribes will work toward adoption of nutrient criteria for fresh water for water quality standards. States NPDES Programs will continue to: (1) ensure the integrity of the program; (2) achieve and measure environmental results; and (3) incorporate efficiencies in permitting program operations. States will also conduct source water protection actions to protect both ground water and surface waters used for drinking water. Tribes will continue to conduct watershed assessments and will maintain and improve their capacity to implement water quality programs through monitoring, assessments, planning, data management and standards development. States with Major Disaster Designations for Hurricane Florence, Hurricane Michael, Typhoon Yutu and 2018 wildfires will be addressing impacts with supplemental funding. States and Tribes eligible for WIIN Act funding will continue monitoring the surface water and sediment quality of the Animas and San Juan rivers.

Funding Priority - Fiscal year 2020: States and Tribes will continue to focus on fulfilling their basic responsibilities under the CWA Section 106 funded programs. State priority efforts will include: (1) implementing monitoring strategies and the statistically-valid surveys to determine water quality status and trends; (2) fostering a watershed approach, including total maximum daily loads (TMDLs) and watershed plans designed to meet water quality standards; (3) implementing National Pollutant Discharge Elimination System (NPDES) permitting programs; and 4) States and Tribes will continue adopting updated water quality standards that support designated uses and completing triennial reviews on time. States NPDES Programs will continue to: (1) ensure the integrity of the program; (2) achieve and measure environmental results; and (3) incorporate efficiencies in permitting program operations. States will also conduct source water protection actions to protect both ground water and surface waters used for drinking water. Tribes will continue to conduct watershed assessments and will maintain and improve their capacity to implement water quality programs through monitoring, assessments, planning, data management and standards development. States and Tribes eligible for WIIN Act funding will continue monitoring the surface water and sediment quality of the Animas and San Juan rivers."
"Surveys, Studies, Investigations, Demonstrations, and Training Grants - Section 1442 of the Safe Drinking Water Act",,"ENVIRONMENTAL PROTECTION AGENCY, ENVIRONMENTAL PROTECTION AGENCY","To support developing, expanding, planning, implementing, and improving environmental training associated with source water and drinking water. To develop and expand capabilities of programs to carry out the purposes of the Safe Drinking Water Act (SDWA).

Funding Priorities - Fiscal Year 2019:  Funding priorities include providing assistance for the following training activities: (1) training personnel who manage or operate public water systems; (2) training personnel for occupations involving the public health aspects of providing safe drinking water; (3) training to develop and expand the capabilities of states and municipalities to carry out the SDWA; and (4) expanding, planning, implementing, and improving training to enable small public water systems to meet the requirements of SDWA."
State Public Water System Supervision,,"ENVIRONMENTAL PROTECTION AGENCY, ENVIRONMENTAL PROTECTION AGENCY","The objective of these grants is to provide financial assistance to eligible States and Tribes (those that have Primary Enforcement Responsibility for the Public Water System Supervision (PWSS) Program, for implementation and enforcement of the requirements of the Safe Drinking Water Act that apply to public water systems. In cases where a State or a Tribe does not have a Primary Enforcement Responsibility program, EPA is authorized to use funds that would have otherwise been made available to the State or the Tribe to assist it in direct implementation of the PWSS program. The fundamental goal of the PWSS Program, and the grants, is to ensure that public water systems comply with the National Primary Drinking Water Regulations listed in 40 CFR 141 (http://www.ecfr.gov/cgi-bin/text-idx?c=ecfr&tpl=/ecfrbrowse/Title40/40cfr141_main_02.tpl). State drinking water agencies, which have Primary Enforcement Responsibility for the PWSS Program, and Indian Tribes that receive PWSS grants are to use them to ensure that public drinking water systems, of all types, and of all sizes: (1) are currently in compliance with the drinking water regulations and remain in compliance, (2) are working towards and in the process of achieving compliance when these systems are noncompliant, and (3) are preparing for future compliance with any new drinking water regulations that will be taking effect in the current or following year. Furthermore, State drinking water agencies, which have Primary Enforcement Responsibility for the PWSS Program, and Indian Tribes that receive PWSS grants are required to use the funds to update and maintain its PWSS program to comply with the National Primary Drinking Water Regulations Implementation requirements listed in 40 CFR 142 (http://www.ecfr.gov/cgi-bin/text-idx?c=ecfr&SID=9fd40a5dfb416f9b56716c0808f3968b&rgn=div5&view=text&node=40:24.0.1.1.4&idno=40) to ensure that the State or Tribal PWSS program is capable of conducting oversight of all public water systems as new drinking water rules, new public water systems, and/or drinking water program requirements become effective.

Funding Priority - Fiscal Year 2019:  The priority for the PWSS grants is to ensure that the population served by community water systems will receive drinking water that meets all applicable health-based drinking water standards. This includes ensuring public water systems implement and comply with the new drinking water rules: Stage 2 Disinfectants and Disinfection Byproducts Rule, Long Term 2 Enhanced Surface Water Treatment Rule, and Ground Water Rule. Furthermore, EPA's priority is for States and Tribal PWSS Programs to meet the primary enforcement responsibilities, listed as follows, along with preparing the States and Tribal PWSS program for implementation of the recently promulgated Revised Total Coliform Rule. The primary components of a State or Tribal PWSS program are: (1) the adoption and implementation of State and Indian Tribe drinking water regulations at least as stringent as the Federal regulations; (2) the development and maintenance of database(s) of an inventory of public water systems and housing of public water system compliance information; (3) the conduct of sanitary surveys, which identifies sanitary deficiencies and requires that these deficiencies to be addressed, at public water systems; (4) the establishment and maintenance of a laboratory certification program for approval of laboratories to perform analyses of drinking water contaminants/analytes, including the assurance of adequate laboratory capacity to perform drinking water analyses; (5) the review of public water system plans and specifications; (6) the establishment of legal enforcement and authority to assess penalties to compel public water systems' compliance with the National Primary Drinking Water Regulations; (7) the adoption of regulations consistent with 40 CFR Part 3 which deals with electronic documents; and (8) the adoption and implementation of an adequate plan for providing safe drinking water during emergency circumstances."
"Surveys, Studies, Investigations, Demonstrations, and Training Grants and Cooperative Agreements - Section 104(b)(3) of the Clean Water Act",,"ENVIRONMENTAL PROTECTION AGENCY, ENVIRONMENTAL PROTECTION AGENCY","To support the coordination and acceleration of research, investigations, experiments, training, demonstrations, surveys, and studies relating to the causes, effects (including health and welfare effects), extent, prevention, reduction, and elimination of water pollution.

Funding Priority - Fiscal Year 2019: Funding priorities include, but are not limited to training, surveys, studies, investigations, and demonstration projects to support water quality improvement, watershed planning and management, nonpoint source planning, wetlands protection, coastal and estuarine planning, treatment technologies, water efficiency, and environmental management systems."
Long Island Sound Program ,Long Island Sound Study (LISS) ,"ENVIRONMENTAL PROTECTION AGENCY, ENVIRONMENTAL PROTECTION AGENCY","To (1) implement the Long Island Sound Study (LISS) Comprehensive Conservation and Management Plan (CCMP) and (2) assist the states of Connecticut and New York and other public or nonprofit entities in implementation, research, planning, enforcement, and citizen involvement and education related to reducing pollution and improving the quality of the environment to sustain living resources in the Long Island Sound.

Funding Priorities - Fiscal Year 2019:   EPA's funding priority was to award grants that support the Long Island Sound Study (LISS) National Estuary Program. Section 119(d) of the Clean Water Act, as amended by America’s Water Infrastructure Act of 2018 Public Law No: 115-270, authorizes the Administrator to award grants to eligible entities to implement the LISS Comprehensive Conservation and Management Plan (CCMP), with special emphasis on implementation, research and planning, enforcement, and citizen involvement and education projects. The LISS management conference, with participants from state, interstate and regional environmental agencies, local governments and other public or nonprofit private agencies, research institutions and individuals, develops programs to protect and restore Long Island Sound. The LISS program characterizes the problems in the estuary, determines relationships between pollutant loading and impacts on living resources, maintains a comprehensive plan recommending solutions to priority problems, and implements actions addressing priority problem areas. Activities focused on theme areas identified in the plan as requiring special attention, such as: clean waters and healthy watersheds; thriving habitats and abundant wildlife; sustainable and resilient communities; and sound science and inclusive management. A detailed description of the projects funded is available at:   http://longislandsoundstudy.net/2019/08/2019-work-plan/."
Targeted Watersheds Grants,,"ENVIRONMENTAL PROTECTION AGENCY, ENVIRONMENTAL PROTECTION AGENCY","To support innovative, community-based watershed approaches aimed at preventing, reducing, or eliminating water pollution. The Targeted Watersheds Grant Program provides resources in the form of grants or cooperative agreements to support watershed organizations in their efforts to expand and improve existing water protection measures. In separate competitive announcements funds are awarded to assist watershed partnerships comprised of State, Tribal, local, and interstate agencies, and public or nonprofit organizations in developing, implementing, and demonstrating: 1) on-the-ground projects to improve or maintain water quality; and 2) organizational and technical capacity building projects to prime organizations to be in a position to implement on-the-ground watershed projects.
Funding Priority - Funding Priority - Fiscal Year 2016: To build upon the existing activities of watershed organizations to engage communities in capacity building activities to foster an increased connection, understanding, and ownership of their waters. 






"
Urban Waters Small Grants,,"ENVIRONMENTAL PROTECTION AGENCY, ENVIRONMENTAL PROTECTION AGENCY","The objective of EPA's Urban Waters Program is to protect and restore America's urban waterways. EPA's funding priority is to achieve the goals and commitments established in the Agency's Urban Waters Strategic Framework (https://www.epa.gov/urbanwaters/urban-waters-strategic-framework). This program has an emphasis on engaging communities with environmental justice concerns. The objective of the Urban Waters Small Grants is to fund research, investigations, experiments, training, surveys, studies, and demonstrations that will advance the restoration of urban waters by improving water quality in urban areas through activities that also support community revitalization and other local priorities. This program recognizes that healthy and accessible urban waters can help grow local businesses and enhance educational, recreational, social, and employment opportunities in nearby communities."
